timestamp,open,high,low,close,tick_volume
2026-07-29 13:59:00,4007.42,4008.16,4005.27,4007.17,246.0
2026-07-29 14:00:00,4007.21,4008.59,4002.53,4003.26,269.0
2026-07-29 14:01:00,4003.22,4004.91,4003.09,4003.35,219.0
2026-07-29 14:02:00,4003.31,4005.69,4002.57,4003.38,248.0
2026-07-29 14:03:00,4003.01,4004.63,4001.14,4003.38,262.0
2026-07-29 14:04:00,4003.37,4006.14,4002.99,4005.91,223.0
2026-07-29 14:05:00,4006.16,4006.71,4004.13,4004.76,232.0
2026-07-29 14:06:00,4004.75,4006.57,4003.65,4004.82,252.0
2026-07-29 14:07:00,4004.69,4004.69,4000.68,4000.85,239.0
2026-07-29 14:08:00,4000.73,4001.64,3998.89,3999.66,230.0
2026-07-29 14:09:00,3999.68,4001.62,3999.38,3999.59,255.0
2026-07-29 14:10:00,3999.62,4000.64,3998.12,3999.81,242.0
2026-07-29 14:11:00,3999.88,4001.23,3999.41,3999.47,242.0
2026-07-29 14:12:00,3999.5,4000.14,3997.69,3997.69,251.0
2026-07-29 14:13:00,3997.67,3997.99,3995.98,3997.7,238.0
2026-07-29 14:14:00,3997.64,3999.12,3996.97,3999.12,211.0
2026-07-29 14:15:00,3999.33,4001.57,3998.95,4000.49,243.0
2026-07-29 14:16:00,4000.48,4003.28,4000.1,4003.08,222.0
2026-07-29 14:17:00,4003.13,4003.8,4002.41,4002.59,215.0
2026-07-29 14:18:00,4002.65,4008.98,4002.63,4008.37,234.0
2026-07-29 14:19:00,4008.36,4009.17,4007.46,4007.8,212.0
2026-07-29 14:20:00,4007.72,4008.98,4006.6,4008.12,235.0
2026-07-29 14:21:00,4008.24,4008.92,4007.38,4008.53,231.0
2026-07-29 14:22:00,4008.54,4009.29,4007.57,4008.49,212.0
2026-07-29 14:23:00,4008.45,4009.78,4007.69,4008.86,219.0
2026-07-29 14:24:00,4008.85,4010.11,4008.13,4009.68,220.0
2026-07-29 14:25:00,4009.66,4009.75,4008.12,4008.21,214.0
2026-07-29 14:26:00,4008.16,4008.16,4005.81,4005.94,251.0
2026-07-29 14:27:00,4005.9,4006.31,4003.5,4004.07,242.0
2026-07-29 14:28:00,4004.6,4006.07,4003.88,4006.04,229.0
2026-07-29 14:29:00,4006.07,4007.55,4005.33,4005.44,233.0
2026-07-29 14:30:00,4005.49,4006.79,4003.98,4006.6,242.0
